Episode,Waiting_Time_s,Speed_m_s,Episode_Reward,Vehicles,Waiting_MA5,Speed_MA5
1,227.47823860727087,8.701392413516492,-46017.0,3906,,
2,257.7612133782733,8.249791541238345,-44982.0,3857,,
3,234.73929860752966,8.540903458660098,-47066.0,3878,239.25303704903817,8.519619702174108
4,266.06915448851777,8.2148550566107,-47491.0,3832,243.62972753217687,8.482332936458883
5,210.21728016359918,8.8911560408449,-41807.0,3912,240.2834995008737,8.541769143678088
6,249.36169102296452,8.514958584940377,-45782.0,3832,240.29311808462552,8.525932476603902
7,241.03007322175733,8.54697257733437,-45128.0,3824,239.00297558119865,8.604561451280906
8,234.78739152628893,8.461720123289169,-45221.0,3918,246.14229069533917,8.524965491553653
9,259.61844197138316,8.607999929995716,-44642.0,3774,239.78723676128266,8.589851215272407
10,245.91385573430202,8.49317624220863,-45460.0,3854,243.1405044882261,8.536793202839544
11,217.58642135268204,8.839387203534143,-41084.0,3859,237.7589297974261,8.649942313801635
12,257.79641185647426,8.281682515170054,-49490.0,3846,235.32865641080647,8.602702601446788
13,207.87951807228916,9.027465678099626,-42306.0,3901,237.02729022262375,8.556037408194644
14,247.46707503828483,8.37180136822148,-48832.0,3918,242.70081468122726,8.425359899159904
15,254.40702479338842,8.259850275947917,-44978.0,3872,241.98612230207283,8.472463404746994
16,245.9540436456996,8.185999658360442,-43567.0,3895,247.0648110508761,8.402277501150191
17,254.22294996070212,8.517200043105511,-43395.0,3817,240.33239655368365,8.488088712438604
18,233.27296181630547,8.676536160115614,-46707.0,3876,235.0129839321707,8.554661988303698
19,213.8050025523226,8.800857424663537,-43945.0,3918,236.85312820225175,8.541749939354506
20,227.80996168582377,8.592716655273387,-44907.0,3915,232.29872021472556,8.553824734084554
21,255.15476499610492,8.121439413614484,-45095.0,3851,233.97975944395225,8.501075358796948
22,231.450910023071,8.577574016755749,-42970.0,3901,232.04165852365162,8.547680423681765
23,241.6781579624389,8.412789283677586,-44846.0,3887,233.1775222354915,8.527403295287687
24,204.11449795081967,9.033882749087615,-42303.0,3904,234.79437926265572,8.594558347240516
25,233.48928024502297,8.491331013303004,-49816.0,3918,239.26045556258578,8.541464719529205
26,263.23905013192615,8.457214673378626,-47556.0,3790,239.00312922788257,8.553767946613174
27,253.78129152272123,8.312105878199194,-42911.0,3763,245.25149048508973,8.424018697568979
28,240.39152628892293,8.474305419097433,-43439.0,3918,251.07829483315936,8.391240072152145
29,235.35630423685555,8.385136503866635,-45826.0,3918,252.92235704775052,8.264251013098786
30,262.623301985371,8.327437886218835,-47794.0,3828,257.87931698592723,8.187026578307739
31,272.4593612048819,7.822269378111826,-48972.0,3851,259.176763076717,8.162521205193928
32,278.56609121360475,7.925983704243962,-49834.0,3881,270.92187011710894,8.037803569362744
33,246.87875674287181,8.351778553528378,-48423.0,3893,273.2687616697861,8.038856825767756
34,294.0818394388153,7.7615483247107155,-52583.0,3849,263.30338253753865,8.22176046779946
35,274.35775974875685,8.33270416824389,-49495.0,3821,262.98423993618246,8.275329407039667
36,222.6324655436447,8.736787588270358,-41445.0,3918,265.4019286702527,8.234547362468655
37,276.97037820682357,8.193828400445,-50832.0,3781,257.70255925109615,8.298431820749569
38,258.96720041322317,8.14786833067331,-46046.0,3872,256.3110485065984,8.242279717186989
39,255.58499234303216,8.080970616115287,-47515.0,3918,262.7072531929408,8.181144337135589
40,267.40020602626834,8.051943650430983,-49693.0,3883,265.43134727756706,8.149043495611293
41,254.6134889753567,8.431110688013357,-48576.0,3855,264.5657582422459,8.159130555363955
42,290.5908486299548,8.033324192823526,-46588.0,3759,271.7199247710037,8.127654964371104
43,254.63925523661754,8.198303629436621,-48754.0,3867,268.5162359614224,8.181114530471755
44,291.3558249868213,7.923592661151033,-53449.0,3794,269.1490532548006,8.173598895429024
45,251.38176197836168,8.31924148093424,-46511.0,3882,254.22220127861698,8.348863909259855
46,257.77757544224767,8.3935325127997,-47681.0,3844,261.2853284636564,8.333975236266758
47,215.95658874903674,8.909649261977682,-42958.0,3893,264.3463614439399,8.276997782200725
48,289.9548911618148,8.123860264471137,-49016.0,3813,265.05722105965765,8.304901167165145
49,306.6609898882384,7.638705390820866,-50468.0,3758,266.473592466216,8.287323207425825
50,254.93606005695057,8.458758405756335,-44308.0,3863,280.8901908369853,8.093707637995424
51,264.8594324750394,8.305642714103099,-46817.0,3806,280.10772550699,8.092828165834224
52,288.03958060288335,7.9415714148256775,-50179.0,3815,273.7106852046095,8.13517805100719
53,286.04256451183824,8.119462903665147,-49336.0,3759,272.17073275888634,8.139333767446022
54,274.6757883763357,7.850454816685685,-49354.0,3837,270.47677657010865,8.180575920898207
55,247.23629782833507,8.479536987950503,-44788.0,3868,264.5564505628173,8.206329440934425
56,256.389651531151,8.511853481364016,-43410.0,3788,263.1434803977333,8.221832408708776
57,258.43795056642637,8.07033901500678,-43309.0,3884,262.29267790217017,8.305761600392346
58,278.97771368641844,8.196977742536898,-52071.0,3814,274.6693083999281,8.172085906642778
59,270.4217758985201,8.270100775103531,-45150.0,3784,278.04806767592953,8.113621057285894
60,309.11945031712474,7.811158519202659,-54028.0,3784,278.76414344376497,8.166790579333815
61,273.28344791115813,8.219529234579593,-45425.0,3782,276.3071776793144,8.126761212017367
62,262.01832940560354,8.3361866252464,-46665.0,3819,275.8589877373345,8.097287030509941
63,266.6928848641656,7.996830905954649,-46661.0,3865,271.35680957370073,8.129304377799945
64,268.1808261886204,8.122729867566399,-48937.0,3849,265.20392392304944,8.135958532387411
65,286.60855949895614,7.971245255652693,-46423.0,3832,265.1221876377566,8.165895004089663
66,242.51901965790145,8.252800007516917,-45458.0,3917,262.41956512613604,8.317905367744096
67,261.6096479791395,8.485868983757657,-45212.0,3835,263.0902535534027,8.28248928326347
68,253.179772306063,8.756882724226816,-45841.0,3777,261.0498192438478,8.277566111937919
69,271.5342683249537,7.945649445163273,-47246.0,3779,268.9591877079642,8.226592592222236
70,276.4063879511815,7.946629399024929,-48677.0,3851,267.3522072381473,8.238661127935966
71,282.0658619784833,7.997932408938503,-49177.0,3811,273.89642066780556,8.060687744884728
72,253.5747456300548,8.546211662326321,-47517.0,3833,273.0713523485321,8.075881097789189
73,285.9008394543547,7.867015808970608,-54251.0,3812,275.4163468247548,8.071223999190932
74,267.40892672858615,8.021616209685586,-49633.0,3876,276.10283349016487,8.098446545491853
75,288.1313603322949,7.923343906033647,-49681.0,3852,277.0119343381258,8.041650421943753
76,285.4982953055337,8.134045140443112,-48580.0,3813,280.082719201105,8.0068623779826
77,258.12024986985944,8.26223104458582,-46480.0,3842,272.9084507034956,8.148899665796819
78,301.25476376925087,7.693075589164831,-52911.0,3831,271.6377400497936,8.140913090277186
79,231.53758424053913,8.731802648756684,-45645.0,3858,266.915755166361,8.18509307332297
80,281.7778070637849,7.8834110284354875,-47726.0,3794,265.08398498513526,8.2336043939864
81,261.8883708883709,8.354945055672019,-48561.0,3861,259.1852276067073,8.321083684650457
82,248.96139896373057,8.504787647902974,-47453.0,3860,262.7788378077798,8.2243096548843
83,271.7609768771109,8.13047204248513,-46201.0,3849,262.17753030437876,8.28265818615835
84,249.50563524590163,8.247932499925893,-44716.0,3904,263.54980393463774,8.265048925216878
85,278.77126954677976,8.175153684805741,-50038.0,3773,259.5848596934658,8.267136596738984
86,268.749739039666,8.266898750964646,-44150.0,3832,254.98825438015538,8.352996238111519
87,229.1366777578705,8.515226005513515,-42123.0,3907,255.1431293785819,8.342749114443489
88,248.777950310559,8.559770249347801,-47705.0,3864,253.29407598669042,8.355547994959743
89,250.2800102380343,8.196696881585739,-47750.0,3907,250.44203244783867,8.370875811772349
90,269.5260025873221,8.239148087387012,-50126.0,3865,257.397524393022,8.331022450598443
91,254.4895213454075,8.343537835027682,-41657.0,3865,262.7295563947793,8.215512560060834
92,263.9141374837873,8.315959199643986,-47346.0,3855,259.98686038606706,8.29335107204613
