epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6617.29,1.31117,0.63703,1.23585,0.87618,0.90536,0.94511,0.64089,1.39166,0.63337,1.3372,0.000404375,0.000404375,0.000404375
43,6779.5,1.2851,0.62148,1.21304,0.87338,0.93159,0.94966,0.63872,1.42724,0.63518,1.35524,0.00038375,0.00038375,0.00038375
44,6965.73,1.27907,0.62466,1.2075,0.85171,0.95476,0.94501,0.63868,1.39443,0.62055,1.34982,0.000363125,0.000363125,0.000363125
45,7143.01,1.27293,0.61356,1.20929,0.86524,0.8887,0.93345,0.63079,1.41109,0.63861,1.35173,0.0003425,0.0003425,0.0003425
46,7314.67,1.27947,0.61675,1.23388,0.88606,0.92015,0.94823,0.63229,1.43257,0.63073,1.37075,0.000321875,0.000321875,0.000321875
47,7476.52,1.28062,0.6135,1.21084,0.90053,0.92536,0.94962,0.64657,1.39201,0.62293,1.34592,0.00030125,0.00030125,0.00030125
48,7644.08,1.25557,0.61472,1.20003,0.91199,0.91869,0.94613,0.63719,1.41057,0.62501,1.35545,0.000280625,0.000280625,0.000280625
49,7823.08,1.25135,0.6027,1.19665,0.85699,0.93633,0.94195,0.63653,1.41035,0.62056,1.35476,0.00026,0.00026,0.00026
50,7985.44,1.25389,0.59703,1.1923,0.86597,0.94178,0.94175,0.63661,1.41315,0.61979,1.34449,0.000239375,0.000239375,0.000239375
51,8146.11,1.25305,0.57956,1.23975,0.90278,0.92679,0.95357,0.63765,1.39899,0.6145,1.34683,0.00021875,0.00021875,0.00021875
52,8308.31,1.21559,0.54872,1.21147,0.89537,0.93249,0.95045,0.6416,1.40151,0.61534,1.35158,0.000198125,0.000198125,0.000198125
53,8471.31,1.23781,0.54997,1.24444,0.89116,0.94803,0.95653,0.64327,1.41294,0.60204,1.36916,0.0001775,0.0001775,0.0001775
54,8631.73,1.19794,0.55392,1.21582,0.85325,0.94874,0.95195,0.64683,1.40261,0.60523,1.36253,0.000156875,0.000156875,0.000156875
55,8793.95,1.19387,0.53106,1.19543,0.90213,0.92008,0.95027,0.64104,1.41382,0.60941,1.37023,0.00013625,0.00013625,0.00013625
56,8937.83,1.18481,0.52862,1.20576,0.87918,0.94159,0.95242,0.64787,1.39107,0.59598,1.35909,0.000115625,0.000115625,0.000115625
57,9051.87,1.15656,0.58332,1.17943,0.9049,0.92907,0.9552,0.64806,1.41145,0.6002,1.36521,9.5e-05,9.5e-05,9.5e-05
58,9171.14,1.16952,0.51683,1.19855,0.90508,0.92865,0.95654,0.64819,1.40884,0.59226,1.36411,7.4375e-05,7.4375e-05,7.4375e-05
59,9308.92,1.1442,0.62287,1.17453,0.89491,0.94392,0.95597,0.64449,1.40702,0.59284,1.36446,5.375e-05,5.375e-05,5.375e-05
60,9443.83,1.15914,0.51863,1.21182,0.90325,0.93019,0.95457,0.64711,1.40422,0.59242,1.36287,3.3125e-05,3.3125e-05,3.3125e-05
